x,y
20.75,22.75
22.25,22.75
20.75,22.75
0.0,0.0
32.25,17.75
22.25,22.75
11.25,30.75
2.25,39.25
5.25,48.25
15.25,40.25
19.75,36.75
20.25,39.75
20.75,43.75
20.25,56.25
32.75,58.75
58.75,39.25
20.25,42.75
44.75,39.75
43.25,35.75
49.75,40.25
56.75,42.75
59.25,38.75
50.25,30.25
39.25,22.25
22.75,18.75
21.25,22.75
22.25,22.75
21.25,22.75
6.25,45.25
32.25,17.75
22.25,22.75
11.25,30.75
12.25,30.75
11.25,30.75
2.25,39.25
5.75,47.75
13.25,39.25
14.25,29.75
15.25,40.25
19.75,36.75
20.25,39.75
20.75,43.75
20.25,56.25
32.75,58.75
58.75,38.75
20.25,42.75
44.75,39.75
43.25,35.75
49.75,40.25
49.75,40.25
52.25,30.75
56.75,42.75
59.25,38.75
56.25,30.75
52.25,30.75
50.25,30.25
39.25,22.25
22.75,18.75
22.75,18.75
22.25,22.75
22.25,22.75
32.25,17.75
32.25,17.75
22.25,22.75
11.25,30.75
2.25,38.75
5.25,48.25
15.25,40.25
19.75,37.25
20.25,39.75
20.75,43.75
20.25,56.25
5.75,45.25
58.75,39.25
20.25,42.75
44.75,39.75
43.25,35.75
49.75,40.25
56.75,42.75
59.25,38.75
