,0
0,"20.75,22.75"
1,"22.25,22.75"
2,"20.75,22.75"
3,"0.0,0.0"
4,"32.25,17.75"
5,"22.25,22.75"
6,"11.25,30.75"
7,"2.25,39.25"
8,"5.25,48.25"
9,"15.25,40.25"
10,"19.75,36.75"
11,"20.25,39.75"
12,"20.75,43.75"
13,"20.25,56.25"
14,"32.75,58.75"
15,"58.75,39.25"
16,"20.25,42.75"
17,"44.75,39.75"
18,"43.25,35.75"
19,"49.75,40.25"
20,"56.75,42.75"
21,"59.25,38.75"
22,"50.25,30.25"
23,"39.25,22.25"
24,"22.75,18.75"
25,"21.25,22.75"
26,"22.25,22.75"
27,"21.25,22.75"
28,"6.25,45.25"
29,"32.25,17.75"
30,"22.25,22.75"
31,"11.25,30.75"
32,"12.25,30.75"
33,"11.25,30.75"
34,"2.25,39.25"
35,"5.75,47.75"
36,"13.25,39.25"
37,"14.25,29.75"
38,"15.25,40.25"
39,"19.75,36.75"
40,"20.25,39.75"
41,"20.75,43.75"
42,"20.25,56.25"
43,"32.75,58.75"
44,"58.75,38.75"
45,"20.25,42.75"
46,"44.75,39.75"
47,"43.25,35.75"
48,"49.75,40.25"
49,"49.75,40.25"
50,"52.25,30.75"
51,"56.75,42.75"
52,"59.25,38.75"
53,"56.25,30.75"
54,"52.25,30.75"
55,"50.25,30.25"
56,"39.25,22.25"
57,"22.75,18.75"
58,"22.75,18.75"
59,"22.25,22.75"
60,"22.25,22.75"
61,"32.25,17.75"
62,"32.25,17.75"
63,"22.25,22.75"
64,"11.25,30.75"
65,"2.25,38.75"
66,"5.25,48.25"
67,"15.25,40.25"
68,"19.75,37.25"
69,"20.25,39.75"
70,"20.75,43.75"
71,"20.25,56.25"
72,"5.75,45.25"
73,"58.75,39.25"
74,"20.25,42.75"
75,"44.75,39.75"
76,"43.25,35.75"
77,"49.75,40.25"
78,"56.75,42.75"
79,"59.25,38.75"
